time,delaytime,throughput,
7639.42,1.03973,34,
7706.32,1.03973,35,
7857.37,1.03973,36,
8051.34,1.01237,37,
8334.76,0.961753,38,
8359.85,0.961753,39,
8523.83,0.938296,40,
507.591,0,0,
625.147,0,1,
676.09,0,2,
869.334,0,3,
883.762,0,4,
1211.05,0,5,
1230.95,0,6,
1377.54,0,7,
1563.82,0,8,
1724.09,0,9,
1874.14,0,10,
1880.16,0,11,
2118.07,0,12,
2239.6,0,13,
2530.21,0,14,
2717.26,0,15,
3050.09,0,16,
3104.63,0,17,
3380.46,0,18,
3703.04,0,19,
4016.35,0,20,
4229.83,0,21,
4411.58,0,22,
4557.26,0,23,
4618.74,0,24,
4798.9,0,25,
4963.83,0,26,
5015.45,0,27,
5298.52,0,28,
5495.59,3.03456,29,
5575.39,3.03456,30,
5848.94,2.94531,31,
6005.57,2.86116,32,
6021.97,2.86116,33,
6183.15,2.78168,34,
6239.23,2.78168,35,
6547.22,2.63528,36,
6755,2.50351,37,
6951.5,2.50351,38,
7242.81,2.44245,39,
7433.56,2.3843,40,
7604.89,2.27592,41,
7643.59,2.27592,42,
7880.89,2.13065,43,
8138.53,2.87527,44,
8166.04,2.87527,45,
8250.63,2.87527,46,
8382.36,2.87527,47,
197.296,0,0,
404.945,0,1,
460.577,0,2,
535.18,0,3,
900.019,0,4,
1102.01,0,5,
1865.46,0,6,
1930.58,0,7,
2344.91,7.96068,8,
2441.29,10.4251,9,
2478.73,10.4251,10,
2531.83,10.4251,11,
2882.13,9.68043,12,
2930.58,9.03507,13,
3118.16,9.03507,14,
3319.63,7.97212,15,
3417.06,7.52922,16,
3473.26,7.52922,17,
3993.02,6.45362,18,
4085.64,7.7179,19,
4104.79,7.7179,20,
4437.15,7.07474,21,
4445.53,7.07474,22,
4516.75,6.79175,23,
4674.73,6.53053,24,
4892.95,6.28866,25,
4900.65,6.28866,26,
5100.22,6.06406,27,
5389.21,5.65979,28,
5528.06,5.30605,29,
5533.88,5.30605,30,
5671.27,5.30605,31,
5879.28,5.14526,32,
6182.68,4.85125,33,
6254.6,4.85125,34,
6464.83,4.71649,35,
6945.97,4.46826,36,
7000.97,4.46826,37,
7241.5,4.35368,38,
7422.2,4.14131,39,
7648.61,3.94869,40,
7805.23,3.85895,41,
8072.29,3.89497,42,
8085.88,3.89497,43,
8162.56,3.89497,44,
8285.2,3.89497,45,
8595.49,3.73268,46,
